company,ticker,date,close
"Caterpillar Inc",CAT,"2024-12-23 16:00:00",365.39
"Caterpillar Inc",CAT,"2024-12-24 13:00:00",367.57
"Caterpillar Inc",CAT,"2024-12-26 16:00:00",367.12
"Caterpillar Inc",CAT,"2024-12-27 16:00:00",364.86
"Caterpillar Inc",CAT,"2024-12-30 16:00:00",363.01
"Caterpillar Inc",CAT,"2024-12-31 16:00:00",362.76
"Caterpillar Inc",CAT,"2025-01-02 16:00:00",359.77
"Caterpillar Inc",CAT,"2025-01-03 16:00:00",363.79
"Caterpillar Inc",CAT,"2025-01-06 16:00:00",364.2
"Caterpillar Inc",CAT,"2025-01-07 16:00:00",363
"Caterpillar Inc",CAT,"2025-01-08 16:00:00",361.07
"Caterpillar Inc",CAT,"2025-01-10 16:00:00",351
"Caterpillar Inc",CAT,"2025-01-13 16:00:00",362.5
"Caterpillar Inc",CAT,"2025-01-14 16:00:00",371.57
"Caterpillar Inc",CAT,"2025-01-15 16:00:00",374.89
"Caterpillar Inc",CAT,"2025-01-16 16:00:00",380.55
"Caterpillar Inc",CAT,"2025-01-17 16:00:00",386.02
"Caterpillar Inc",CAT,"2025-01-21 16:00:00",398.36
"Caterpillar Inc",CAT,"2025-01-22 16:00:00",397.61
"Caterpillar Inc",CAT,"2025-01-23 16:00:00",406.4
"Caterpillar Inc",CAT,"2025-01-24 16:00:00",407.63
"Caterpillar Inc",CAT,"2025-01-27 16:00:00",394.98
"Caterpillar Inc",CAT,"2025-01-28 16:00:00",390.29
"Caterpillar Inc",CAT,"2025-01-29 16:00:00",393.23
"Caterpillar Inc",CAT,"2025-01-30 16:00:00",374.98
"Caterpillar Inc",CAT,"2025-01-31 16:00:00",371.44
"Caterpillar Inc",CAT,"2025-02-03 16:00:00",361.55
"Caterpillar Inc",CAT,"2025-02-04 16:00:00",361.95
"Caterpillar Inc",CAT,"2025-02-05 16:00:00",358.85
"Caterpillar Inc",CAT,"2025-02-06 16:00:00",365.45
"Caterpillar Inc",CAT,"2025-02-07 16:00:00",363.88
"Caterpillar Inc",CAT,"2025-02-10 16:00:00",363.22
"Caterpillar Inc",CAT,"2025-02-11 16:00:00",362.23
"Caterpillar Inc",CAT,"2025-02-12 16:00:00",352.04
"Caterpillar Inc",CAT,"2025-02-13 16:00:00",353.7
"Caterpillar Inc",CAT,"2025-02-14 16:00:00",353.32
"Caterpillar Inc",CAT,"2025-02-18 16:00:00",354
